PL68100400032222000033330001= 
PL58100400452222000033330002= 
PL82100400742222000033330003= 
PL67100400582222000033330004= 
na powy¿sze odp poprawna

58100400452222000000000000;200;ACSP
#68100400032222000033330001;201;ACSP
#68100400032222000000000000;202;ACSP
#58100400452222000033330002;203;ACSP      
57100400032222000033330005;204;TAPF
47100400452222000033330006;205;AC01
71100400742222000033330007;206;AC04
56100400582222000033330008;207;AC06
46100400032222000033330009;208;AG01
36100400452222000033330010;209;AG02
60100400742222000033330011;210;AM01
45100400582222000033330012;211;AM02
35100400032222000033330013;212;AM03
25100400452222000033330014;213;AM04
49100400742222000033330015;214;AM05
34100400582222000033330016;215;AM06
24100400032222000033330017;216;AM07
14100400452222000033330018;217;AM09
38100400742222000033330019;218;AM10
23100400582222000033330020;219;BE01
13100400032222000033330021;30;BE04
03100400452222000033330022;31;BE05
27100400742222000033330023;32;BE06
12100400582222000033330024;33;BE07
02100400032222000033330025;34;CURR
89100400452222000033330026;35;CUST
16100400742222000033330027;36;DT01
98100400582222000033330028;37;ED01	
88100400032222000033330029;38;ED03
78100400452222000033330030;39;ED05
05100400742222000033330031;40;FOCR
87100400582222000033330032;41;MD01
77100400032222000033330033;42;MD02
67100400452222000033330034;43;MD06
91100400742222000033330035;44;MD07
76100400582222000033330036;45;MS02
66100400032222000033330037;46;MS03
56100400452222000033330038;47;RC01
80100400742222000033330039;48;RF01
65100400582222000033330040;49;RR01
55100400032222000033330041;50;RR02
45100400452222000033330042;51;RR03
69100400742222000033330043;52;RR04
54100400582222000033330044;53;SL01
44100400032222000033330045;54;SL02
34100400452222000033330046;55;TM01
07100500021111000088880047;56;RJCT;CANM
26200300011111000088880051;57;RJCT;CADU
06100600011111000088880054;58;ACSP      
