58100400452222000000000000;10
68100400032222000033330001;11      
68100400032222000033330001;12      
68100400032222000033330001;13      
68100400032222000033330001;14      
68100400032222000000000000;15
58100400452222000033330002;16      
47100400452222000033330006;17
71100400742222000033330007;18      
68100400032222000033330001;19
58100400452222000033330002;20      
07100500021111000088880047;21
26200300011111000088880051;22
06100600011111000088880054;23      
57100400032222000033330005;24
47100400452222000033330006;25
71100400742222000033330007;26
56100400582222000033330008;27
46100400032222000033330009;28
36100400452222000033330010;29
60100400742222000033330011;30
45100400582222000033330012;31
35100400032222000033330013;32
25100400452222000033330014;33
49100400742222000033330015;34
34100400582222000033330016;35
24100400032222000033330017;36
14100400452222000033330018;37
38100400742222000033330019;38
23100400582222000033330020;39
13100400032222000033330021;40
03100400452222000033330022;41
27100400742222000033330023;42
12100400582222000033330024;43
02100400032222000033330025;44
89100400452222000033330026;45
16100400742222000033330027;46
98100400582222000033330028;47
88100400032222000033330029;48
78100400452222000033330030;49
05100400742222000033330031;50
87100400582222000033330032;51
77100400032222000033330033;52
67100400452222000033330034;53
91100400742222000033330035;54
76100400582222000033330036;55
66100400032222000033330037;56
56100400452222000033330038;57
80100400742222000033330039;58
65100400582222000033330040;59
55100400032222000033330041;60
45100400452222000033330042;61
69100400742222000033330043;62
54100400582222000033330044;63
44100400032222000033330045;64
34100400452222000033330046;65
